datetime_utc,site_no,qual_cd,discharge_cms
2021-04-19 04:00:00+00:00,03408500,A,8.552
2021-04-19 04:15:00+00:00,03408500,A,8.552
2021-04-19 04:30:00+00:00,03408500,A,8.552
2021-04-19 04:45:00+00:00,03408500,A,8.438
2021-04-19 05:00:00+00:00,03408500,A,8.552
2021-04-19 05:15:00+00:00,03408500,A,8.438
2021-04-19 05:30:00+00:00,03408500,A,8.552
2021-04-19 05:45:00+00:00,03408500,A,8.438
2021-04-19 06:00:00+00:00,03408500,A,8.438
2021-04-19 06:15:00+00:00,03408500,A,8.438
2021-04-19 06:30:00+00:00,03408500,A,8.438
2021-04-19 06:45:00+00:00,03408500,A,8.438
2021-04-19 07:00:00+00:00,03408500,A,8.438
2021-04-19 07:15:00+00:00,03408500,A,8.438
2021-04-19 07:30:00+00:00,03408500,A,8.438
2021-04-19 07:45:00+00:00,03408500,A,8.438
2021-04-19 08:00:00+00:00,03408500,A,8.438
2021-04-19 08:15:00+00:00,03408500,A,8.438
2021-04-19 08:30:00+00:00,03408500,A,8.325
2021-04-19 08:45:00+00:00,03408500,A,8.438
2021-04-19 09:00:00+00:00,03408500,A,8.438
2021-04-19 09:15:00+00:00,03408500,A,8.438
2021-04-19 09:30:00+00:00,03408500,A,8.438
2021-04-19 09:45:00+00:00,03408500,A,8.325
2021-04-19 10:00:00+00:00,03408500,A,8.438
2021-04-19 10:15:00+00:00,03408500,A,8.325
2021-04-19 10:30:00+00:00,03408500,A,8.325
2021-04-19 10:45:00+00:00,03408500,A,8.325
2021-04-19 11:00:00+00:00,03408500,A,8.325
2021-04-19 11:15:00+00:00,03408500,A,8.325
2021-04-19 11:30:00+00:00,03408500,A,8.325
2021-04-19 11:45:00+00:00,03408500,A,8.325
2021-04-19 12:00:00+00:00,03408500,A,8.325
2021-04-19 12:15:00+00:00,03408500,A,8.325
2021-04-19 12:30:00+00:00,03408500,A,8.325
2021-04-19 12:45:00+00:00,03408500,A,8.325
2021-04-19 13:00:00+00:00,03408500,A,8.325
2021-04-19 13:15:00+00:00,03408500,A,8.325
2021-04-19 13:30:00+00:00,03408500,A,8.325
2021-04-19 13:45:00+00:00,03408500,A,8.325
2021-04-19 14:00:00+00:00,03408500,A,8.325
2021-04-19 14:15:00+00:00,03408500,A,8.184
2021-04-19 14:30:00+00:00,03408500,A,8.325
2021-04-19 14:45:00+00:00,03408500,A,8.325
2021-04-19 15:00:00+00:00,03408500,A,8.184
2021-04-19 15:15:00+00:00,03408500,A,8.184
2021-04-19 15:30:00+00:00,03408500,A,8.184
2021-04-19 15:45:00+00:00,03408500,A,8.184
2021-04-19 16:00:00+00:00,03408500,A,8.184
2021-04-19 16:15:00+00:00,03408500,A,8.184
2021-04-19 16:30:00+00:00,03408500,A,8.184
2021-04-19 16:45:00+00:00,03408500,A,8.184
2021-04-19 17:00:00+00:00,03408500,A,8.184
2021-04-19 17:15:00+00:00,03408500,A,8.184
2021-04-19 17:30:00+00:00,03408500,A,8.184
2021-04-19 17:45:00+00:00,03408500,A,8.184
2021-04-19 18:00:00+00:00,03408500,A,8.184
2021-04-19 18:15:00+00:00,03408500,A,8.184
2021-04-19 18:30:00+00:00,03408500,A,8.184
2021-04-19 18:45:00+00:00,03408500,A,8.184
2021-04-19 19:00:00+00:00,03408500,A,8.184
2021-04-19 19:15:00+00:00,03408500,A,8.184
2021-04-19 19:30:00+00:00,03408500,A,8.184
2021-04-19 19:45:00+00:00,03408500,A,8.184
2021-04-19 20:00:00+00:00,03408500,A,8.184
2021-04-19 20:15:00+00:00,03408500,A,8.184
2021-04-19 20:30:00+00:00,03408500,A,8.184
2021-04-19 20:45:00+00:00,03408500,A,8.184
2021-04-19 21:00:00+00:00,03408500,A,8.184
2021-04-19 21:15:00+00:00,03408500,A,8.184
2021-04-19 21:30:00+00:00,03408500,A,8.07
2021-04-19 21:45:00+00:00,03408500,A,8.07
2021-04-19 22:00:00+00:00,03408500,A,8.07
2021-04-19 22:15:00+00:00,03408500,A,8.07
2021-04-19 22:30:00+00:00,03408500,A,8.07
2021-04-19 22:45:00+00:00,03408500,A,8.07
2021-04-19 23:00:00+00:00,03408500,A,8.07
2021-04-19 23:15:00+00:00,03408500,A,8.07
2021-04-19 23:30:00+00:00,03408500,A,8.07
2021-04-19 23:45:00+00:00,03408500,A,8.07
2021-04-20 00:00:00+00:00,03408500,A,8.07
2021-04-20 00:15:00+00:00,03408500,A,8.07
2021-04-20 00:30:00+00:00,03408500,A,8.07
2021-04-20 00:45:00+00:00,03408500,A,8.07
2021-04-20 01:00:00+00:00,03408500,A,8.07
2021-04-20 01:15:00+00:00,03408500,A,8.07
2021-04-20 01:30:00+00:00,03408500,A,8.07
2021-04-20 01:45:00+00:00,03408500,A,8.07
