feature_id,return_period_2,return_period_5,return_period_10,return_period_25,return_period_50,return_period_100
1239619,7.08,11.93,15.14,19.2,22.21,25.19
682561,12.32,25.69,34.55,45.73,54.03,62.27
15238142,31.72,49.09,60.59,75.12,85.9,96.59
2823570,31.58,65.07,87.24,115.25,136.03,156.66
1639209,26.78,85.28,124.01,172.95,209.26,245.29
6261526,66.15,157.96,218.75,295.56,352.54,409.09
4858779,154.67,221.39,265.56,321.37,362.78,403.88
3056360,221.54,319.35,384.11,465.94,526.64,586.9
887151,262.39,513.58,679.88,890.01,1045.9,1200.63
24750511,316.99,701.02,955.29,1276.56,1514.89,1751.46
24432645,510.06,708.2,839.39,1005.15,1128.11,1250.17
6010272,8088.4,11987.31,14568.72,17830.35,20250.01,22651.8
24534748,10.92,17.03,21.09,26.2,30.0,33.77
20039884,4.46,18.14,27.19,38.63,47.11,55.54
12319297,13.6,31.35,43.1,57.95,68.96,79.89
8212787,28.64,69.44,96.46,130.6,155.92,181.06
6162939,50.49,76.04,92.97,114.35,130.21,145.95
9331072,55.65,175.89,255.5,356.09,430.71,504.78
11982097,127.04,191.29,233.83,287.58,327.45,367.03
1825236,163.96,271.82,343.23,433.46,500.4,566.84
22656105,153.3,409.38,578.92,793.15,952.07,1109.82
21770039,639.9,1243.32,1642.85,2147.64,2522.13,2893.85
5987239,949.86,1446.85,1775.89,2191.65,2500.07,2806.22
3646792,879.37,1526.76,1955.39,2496.96,2898.73,3297.53
12006723,0.42,0.78,1.03,1.34,1.56,1.79
21477644,1.51,5.5,8.14,11.48,13.95,16.41
8849951,9.18,21.04,28.89,38.81,46.16,53.47
23785723,104.51,144.65,171.23,204.81,229.73,254.45
2047893,104.37,187.34,242.27,311.68,363.17,414.28
19697495,111.87,205.63,267.7,346.14,404.32,462.08
23923628,160.78,255.07,317.49,396.37,454.89,512.97
4228060,190.29,306.06,382.7,479.54,551.39,622.7
8523325,359.69,561.3,694.78,863.44,988.56,1112.76
1121321,347.98,590.57,751.19,954.14,1104.7,1254.14
1239663,5.03,7.2,8.63,10.45,11.79,13.13
3986460,17.56,28.91,36.42,45.92,52.96,59.96
3255135,26.03,37.63,45.32,55.03,62.23,69.38
23970755,147.96,219.68,267.16,327.16,371.67,415.85
17398607,181.59,385.21,520.02,690.35,816.71,942.14
6149075,265.2,405.93,499.11,616.84,704.18,790.88
1439357,123.07,761.08,1183.49,1717.21,2113.16,2506.18
23981225,478.24,794.47,1003.84,1268.37,1464.62,1659.42
19621338,18.31,27.25,33.16,40.63,46.17,51.67
3576298,22.58,41.1,53.37,68.86,80.36,91.77
3158167,7.6,84.49,135.4,199.73,247.45,294.82
8507536,105.52,196.71,257.08,333.36,389.95,446.12
398302,548.85,1423.02,2001.8,2733.08,3275.59,3814.1
23856673,1086.62,1841.09,2340.62,2971.78,3440.0,3904.77
15708443,1545.88,2471.65,3084.6,3859.06,4433.59,5003.89
189855,6.89,14.78,20.01,26.61,31.51,36.37
9700081,58.36,91.01,112.63,139.94,160.2,180.31
24540979,66.56,111.42,141.12,178.64,206.48,234.12
5211705,89.27,144.65,181.31,227.64,262.01,296.12
17172888,101.63,213.96,288.34,382.31,452.02,521.22
10525935,98.19,324.5,474.34,663.66,804.11,943.53
10736789,0.07,0.35,0.54,0.77,0.95,1.12
1232803,19.37,30.48,37.83,47.13,54.02,60.87
2806865,43.21,69.53,86.96,108.99,125.32,141.54
239166,49.93,76.1,93.42,115.31,131.55,147.66
10631613,145.08,409.66,584.83,806.16,970.36,1133.34
5790218,399.09,801.47,1067.88,1404.49,1654.21,1902.08
19947688,2191.99,3864.31,4971.53,6370.5,7408.34,8438.52
1813213,6.68,22.68,33.27,46.65,56.58,66.44
12770015,23.21,50.55,68.65,91.52,108.48,125.32
391180,28.84,88.05,127.25,176.78,213.52,250.0
9731486,77.55,121.33,150.32,186.94,214.11,241.08
9528089,74.26,124.62,157.97,200.1,231.35,262.38
390116,63.02,147.84,203.99,274.95,327.58,379.83
17153694,196.58,308.19,382.09,475.46,544.73,613.49
24843814,191.72,418.2,568.15,757.61,898.17,1037.68
9614545,399.43,655.17,824.5,1038.44,1197.15,1354.69
9661944,707.43,1075.17,1318.65,1626.29,1854.51,2081.05
20719586,1.23,2.44,3.25,4.27,5.02,5.77
14186076,6.79,18.13,25.64,35.12,42.16,49.14
4587100,32.72,57.59,74.06,94.87,110.31,125.64
1009020,53.38,92.88,119.03,152.07,176.59,200.92
18382337,67.71,110.25,138.42,174.01,200.41,226.62
8319319,135.11,196.7,237.48,289.01,327.24,365.18
5927182,118.85,217.14,282.22,364.44,425.44,485.99
4914292,109.6,242.2,329.98,440.9,523.19,604.87
512987,365.58,604.91,763.37,963.59,1112.12,1259.56
8476948,428.75,853.79,1135.21,1490.78,1754.56,2016.4
