feature_id,return_period_2,return_period_5,return_period_10,return_period_25,return_period_50,return_period_100
19710659,144.38,237.35,298.9,376.67,434.37,491.64
10176975,134.38,261.53,345.72,452.09,531.01,609.34
18414205,166.33,276.12,348.81,440.65,508.78,576.41
19663107,314.83,480.96,590.95,729.92,833.02,935.36
18408256,36.08,58.94,74.07,93.2,107.38,121.47
18408480,127.51,217.3,276.75,351.86,407.59,462.9
18408070,111.43,218.87,290.0,379.88,446.55,512.74
18415029,153.58,253.31,319.34,402.77,464.67,526.1
11883626,141.85,263.03,343.26,444.63,519.83,594.48
19693637,195.99,307.61,381.52,474.9,544.17,612.94
18393858,230.48,407.38,524.51,672.49,782.28,891.25
18402511,419.37,611.02,737.91,898.23,1017.17,1135.23
18407724,15.83,32.39,43.35,57.2,67.48,77.68
19677799,18.18,43.76,60.69,82.09,97.96,113.72
18408304,89.02,142.83,178.45,223.47,256.86,290.01
10183165,186.26,270.51,326.3,396.78,449.07,500.97
18409192,213.51,319.46,389.6,478.23,543.98,609.25
18393756,210.1,377.86,488.93,629.27,733.38,836.72
19710283,344.13,506.58,614.13,750.03,850.85,950.92
18402499,401.37,641.53,800.54,1001.45,1150.5,1298.45
10169834,727.31,1172.95,1468.0,1840.79,2117.35,2391.87
19710425,818.29,1233.39,1508.23,1855.49,2113.1,2368.81
19712873,1035.3,1556.66,1901.85,2338.0,2661.56,2982.73
18408692,1209.94,1770.07,2140.92,2609.49,2957.11,3302.15
18408278,11.33,24.48,33.19,44.19,52.35,60.45
18407916,21.37,44.27,59.44,78.6,92.81,106.92
18407884,25.4,45.21,58.33,74.91,87.21,99.41
19695443,194.85,298.27,366.74,453.25,517.43,581.14
18408390,209.47,360.94,461.23,587.94,681.94,775.25
19722609,245.12,402.45,506.62,638.24,735.88,832.8
18421273,380.19,613.56,768.07,963.29,1108.12,1251.87
12154278,433.12,669.69,826.32,1024.23,1171.04,1316.77
18393278,605.7,1164.42,1534.34,2001.74,2348.48,2692.66
18409490,1235.58,1814.53,2197.84,2682.16,3041.45,3398.09
19713083,26.23,42.21,52.79,66.16,76.08,85.93
22125042,55.2,90.72,114.23,143.94,165.99,187.87
18408484,71.14,124.95,160.57,205.59,238.98,272.13
18422661,112.63,210.39,275.11,356.88,417.55,477.77
18421297,174.16,248.15,297.14,359.03,404.94,450.52
10181647,201.71,305.69,374.53,461.5,526.03,590.08
18401497,197.3,316.63,395.64,495.47,569.53,643.04
19711775,241.55,355.84,431.51,527.12,598.04,668.45
18393910,232.38,409.78,527.23,675.63,785.72,895.0
10175909,282.76,410.8,495.57,602.69,682.15,761.02
18408240,273.16,505.53,659.38,853.78,997.99,1141.13
18391756,344.99,608.38,782.77,1003.1,1166.56,1328.82
18432749,519.52,834.27,1042.65,1305.95,1501.28,1695.16
18421703,651.05,997.0,1226.05,1515.45,1730.15,1943.26
12154450,745.29,1088.12,1315.1,1601.9,1814.66,2025.85
12154474,1153.29,1766.2,2172.0,2684.73,3065.11,3442.67
21655632,45.82,86.6,113.6,147.72,173.03,198.15
19604435,65.56,105.56,132.04,165.5,190.33,214.97
21655350,196.09,351.73,454.78,584.98,681.57,777.44
19534708,361.86,550.09,674.72,832.19,949.01,1064.96
19504798,460.44,779.7,991.07,1258.15,1456.28,1652.95
19532008,550.44,903.28,1136.89,1432.06,1651.03,1868.39
19516762,610.23,992.41,1245.44,1565.15,1802.34,2037.76
18592074,674.12,1090.99,1366.99,1715.72,1974.43,2231.23
21654166,66.53,131.15,173.94,227.99,268.09,307.9
18565735,82.04,156.21,205.31,267.36,313.39,359.07
